,NOM_CORE,NOM_INSTALACION,COD_DATOS_YMA,COD_INSTALACION,COD_ELEMENTO,COD_ALERTA_PRE,BIN_VIENTO,BIN_YAW,TIEMPO_TOTAL,POT_MEDIA,VEL_VIENTO_MEDIA,POT_STD,VEL_VIENTO_STD,RANKING,FEC_HORA_INI,FEC_HORA_FIN
64,,LAGOA II,31100376.0,2001.0,15782.0,62364517.0,"(3, 6]","(10, 14]",21970.0,416.68,5.17,210.98,462.45,6.0,2020-10-01,2020-11-01
65,,LAGOA II,31100375.0,2001.0,15782.0,62364517.0,"(3, 6]","(6, 10]",34480.0,421.72,5.19,215.9,469.16,5.0,2020-10-01,2020-11-01
66,,LAGOA II,31100374.0,2001.0,15782.0,62364517.0,"(3, 6]","(2, 6]",47690.0,423.47,5.2,213.9,469.79,4.0,2020-10-01,2020-11-01
67,,LAGOA II,31100373.0,2001.0,15782.0,62364517.0,"(3, 6]","(-2, 2]",57110.0,433.3,5.2,218.27,480.54,2.0,2020-10-01,2020-11-01
68,,LAGOA II,31100372.0,2001.0,15782.0,62364517.0,"(3, 6]","(-6, -2]",53750.0,445.01,5.24,218.88,491.23,1.0,2020-10-01,2020-11-01
69,,LAGOA II,31100371.0,2001.0,15782.0,62364517.0,"(3, 6]","(-10, -6]",41390.0,424.33,5.21,200.94,464.8,3.0,2020-10-01,2020-11-01
70,,LAGOA II,31100370.0,2001.0,15782.0,62364517.0,"(3, 6]","(-14, -10]",24290.0,401.15,5.16,203.28,445.12,7.0,2020-10-01,2020-11-01
71,,LAGOA II,31100369.0,2001.0,15782.0,62364517.0,"(3, 6]","(-18, -14]",13320.0,375.84,5.15,192.2,417.55,10.0,2020-10-01,2020-11-01
72,,LAGOA II,31100368.0,2001.0,15782.0,62364517.0,"(3, 6]","(-22, -18]",7730.0,349.34,5.12,182.14,389.44,12.0,2020-10-01,2020-11-01
73,,LAGOA II,31100367.0,2001.0,15782.0,62364517.0,"(3, 6]","(-26, -22]",3710.0,292.92,5.0,141.53,320.83,15.0,2020-10-01,2020-11-01
74,,LAGOA II,31100366.0,2001.0,15782.0,62364517.0,"(3, 6]","(-Infinito, -26]",5100.0,293.92,5.1,149.07,325.02,14.0,2020-10-01,2020-11-01
75,,LAGOA II,31100365.0,2001.0,15782.0,,"(-Infinito, 3]","(26, Infinito]",90.0,174.3,2.61,117.23,207.9,2.0,2020-10-01,2020-11-01
76,,LAGOA II,31100364.0,2001.0,15782.0,,"(-Infinito, 3]","(22, 26]",30.0,143.07,2.37,32.75,144.46,14.0,2020-10-01,2020-11-01
77,,LAGOA II,31100363.0,2001.0,15782.0,,"(-Infinito, 3]","(18, 22]",100.0,148.77,2.45,49.99,154.62,12.0,2020-10-01,2020-11-01
78,,LAGOA II,31100362.0,2001.0,15782.0,,"(-Infinito, 3]","(14, 18]",20.0,166.56,2.68,58.57,174.03,5.0,2020-10-01,2020-11-01
79,,LAGOA II,31100361.0,2001.0,15782.0,,"(-Infinito, 3]","(10, 14]",110.0,186.01,2.58,76.2,198.62,1.0,2020-10-01,2020-11-01
80,,LAGOA II,31100360.0,2001.0,15782.0,,"(-Infinito, 3]","(6, 10]",170.0,152.62,2.77,37.3,154.42,11.0,2020-10-01,2020-11-01
81,,LAGOA II,31100359.0,2001.0,15782.0,,"(-Infinito, 3]","(2, 6]",330.0,167.59,2.59,54.23,173.69,4.0,2020-10-01,2020-11-01
82,,LAGOA II,31100358.0,2001.0,15782.0,,"(-Infinito, 3]","(-2, 2]",290.0,157.38,2.67,66.01,168.21,10.0,2020-10-01,2020-11-01
83,,LAGOA II,31100357.0,2001.0,15782.0,,"(-Infinito, 3]","(-6, -2]",300.0,161.83,2.62,57.1,169.14,7.0,2020-10-01,2020-11-01
84,,LAGOA II,31100356.0,2001.0,15782.0,,"(-Infinito, 3]","(-10, -6]",210.0,144.95,2.55,33.24,146.23,13.0,2020-10-01,2020-11-01
85,,LAGOA II,31100355.0,2001.0,15782.0,,"(-Infinito, 3]","(-14, -10]",130.0,158.85,2.71,60.04,167.28,9.0,2020-10-01,2020-11-01
86,,LAGOA II,31100354.0,2001.0,15782.0,,"(-Infinito, 3]","(-18, -14]",130.0,170.92,2.68,49.16,175.27,3.0,2020-10-01,2020-11-01
87,,LAGOA II,31100353.0,2001.0,15782.0,,"(-Infinito, 3]","(-22, -18]",60.0,160.01,2.69,96.65,184.64,8.0,2020-10-01,2020-11-01
88,,LAGOA II,31100352.0,2001.0,15782.0,,"(-Infinito, 3]","(-26, -22]",10.0,133.0,2.4,0.0,130.6,15.0,2020-10-01,2020-11-01
89,,LAGOA II,31100351.0,2001.0,15782.0,,"(-Infinito, 3]","(-Infinito, -26]",60.0,164.14,2.78,69.82,175.81,6.0,2020-10-01,2020-11-01
90,,LAGOA II,31100602.0,2001.0,15784.0,62364519.0,"(12, 15]","(14, 18]",3300.0,2006.74,13.0,55.17,1994.5,2.0,2020-10-01,2020-11-01
91,,LAGOA II,31100601.0,2001.0,15784.0,62364519.0,"(12, 15]","(10, 14]",9230.0,2007.41,13.05,30.04,1994.58,1.0,2020-10-01,2020-11-01
92,,LAGOA II,31100600.0,2001.0,15784.0,62364519.0,"(12, 15]","(6, 10]",23770.0,2005.19,13.12,36.18,1992.39,3.0,2020-10-01,2020-11-01
93,,LAGOA II,31100599.0,2001.0,15784.0,62364519.0,"(12, 15]","(2, 6]",51260.0,2004.35,13.09,27.34,1991.45,4.0,2020-10-01,2020-11-01
94,,LAGOA II,31100598.0,2001.0,15784.0,62364519.0,"(12, 15]","(-2, 2]",75380.0,2004.19,13.06,31.75,1991.39,5.0,2020-10-01,2020-11-01
95,,LAGOA II,31100597.0,2001.0,15784.0,62364519.0,"(12, 15]","(-6, -2]",68600.0,2003.25,13.04,35.22,1990.52,6.0,2020-10-01,2020-11-01
96,,LAGOA II,31100596.0,2001.0,15784.0,62364519.0,"(12, 15]","(-10, -6]",40230.0,2002.24,13.03,54.09,1989.95,7.0,2020-10-01,2020-11-01
97,,LAGOA II,31100595.0,2001.0,15784.0,62364519.0,"(12, 15]","(-14, -10]",13790.0,1989.6,13.0,102.35,1979.25,10.0,2020-10-01,2020-11-01
98,,LAGOA II,31100594.0,2001.0,15784.0,62364519.0,"(12, 15]","(-18, -14]",3320.0,1956.8,12.98,159.35,1950.35,11.0,2020-10-01,2020-11-01
99,,LAGOA II,31100593.0,2001.0,15784.0,62364519.0,"(12, 15]","(-22, -18]",800.0,1869.23,12.84,256.74,1874.07,12.0,2020-10-01,2020-11-01
100,,LAGOA II,31100592.0,2001.0,15784.0,62364519.0,"(12, 15]","(-26, -22]",250.0,1799.2,12.91,210.65,1798.67,14.0,2020-10-01,2020-11-01
101,,LAGOA II,31100591.0,2001.0,15784.0,62364519.0,"(12, 15]","(-Infinito, -26]",270.0,1384.35,12.71,652.52,1518.94,15.0,2020-10-01,2020-11-01
102,,LAGOA II,31100590.0,2001.0,15784.0,62364519.0,"(9, 12]","(26, Infinito]",2230.0,1426.35,9.96,462.9,1490.11,12.0,2020-10-01,2020-11-01
103,,LAGOA II,31100589.0,2001.0,15784.0,62364519.0,"(9, 12]","(22, 26]",2260.0,1643.01,10.16,358.87,1671.83,10.0,2020-10-01,2020-11-01
104,,LAGOA II,31100588.0,2001.0,15784.0,62364519.0,"(9, 12]","(18, 22]",5110.0,1737.54,10.23,334.0,1759.31,8.0,2020-10-01,2020-11-01
105,,LAGOA II,31100587.0,2001.0,15784.0,62364519.0,"(9, 12]","(14, 18]",11560.0,1807.84,10.2,292.99,1821.36,6.0,2020-10-01,2020-11-01
106,,LAGOA II,31100586.0,2001.0,15784.0,62364519.0,"(9, 12]","(10, 14]",29580.0,1858.97,10.24,253.63,1866.05,4.0,2020-10-01,2020-11-01
107,,LAGOA II,31100585.0,2001.0,15784.0,62364519.0,"(9, 12]","(6, 10]",73240.0,1886.9,10.26,223.46,1889.9,2.0,2020-10-01,2020-11-01
108,,LAGOA II,31100584.0,2001.0,15784.0,62364519.0,"(9, 12]","(2, 6]",162800.0,1889.26,10.31,217.07,1891.44,1.0,2020-10-01,2020-11-01
109,,LAGOA II,31100583.0,2001.0,15784.0,62364519.0,"(9, 12]","(-2, 2]",244890.0,1869.48,10.35,232.43,1873.61,3.0,2020-10-01,2020-11-01
110,,LAGOA II,31100582.0,2001.0,15784.0,62364519.0,"(9, 12]","(-6, -2]",221830.0,1825.93,10.39,262.08,1834.33,5.0,2020-10-01,2020-11-01
111,,LAGOA II,31100581.0,2001.0,15784.0,62364519.0,"(9, 12]","(-10, -6]",115160.0,1772.8,10.47,294.54,1786.78,7.0,2020-10-01,2020-11-01
112,,LAGOA II,31100580.0,2001.0,15784.0,62364519.0,"(9, 12]","(-14, -10]",40370.0,1670.69,10.45,349.86,1696.71,9.0,2020-10-01,2020-11-01
113,,LAGOA II,31100579.0,2001.0,15784.0,62364519.0,"(9, 12]","(-18, -14]",11550.0,1509.55,10.38,415.55,1555.7,11.0,2020-10-01,2020-11-01
114,,LAGOA II,31100578.0,2001.0,15784.0,62364519.0,"(9, 12]","(-22, -18]",3880.0,1344.84,10.18,405.24,1394.82,13.0,2020-10-01,2020-11-01
115,,LAGOA II,31100577.0,2001.0,15784.0,62364519.0,"(9, 12]","(-26, -22]",1980.0,1243.3,10.14,377.33,1289.6,14.0,2020-10-01,2020-11-01
116,,LAGOA II,31100576.0,2001.0,15784.0,62364519.0,"(9, 12]","(-Infinito, -26]",1930.0,1124.17,10.17,386.55,1179.16,15.0,2020-10-01,2020-11-01
117,,LAGOA II,31100575.0,2001.0,15784.0,62364519.0,"(6, 9]","(26, Infinito]",10170.0,726.76,7.24,356.46,802.98,12.0,2020-10-01,2020-11-01
118,,LAGOA II,31100574.0,2001.0,15784.0,62364519.0,"(6, 9]","(22, 26]",7030.0,860.74,7.32,384.59,936.08,9.0,2020-10-01,2020-11-01
119,,LAGOA II,31100573.0,2001.0,15784.0,62364519.0,"(6, 9]","(18, 22]",11780.0,938.41,7.35,401.19,1013.81,7.0,2020-10-01,2020-11-01
120,,LAGOA II,31100572.0,2001.0,15784.0,62364519.0,"(6, 9]","(14, 18]",22690.0,1034.42,7.39,421.71,1110.23,5.0,2020-10-01,2020-11-01
121,,LAGOA II,31100571.0,2001.0,15784.0,62364519.0,"(6, 9]","(10, 14]",47450.0,1110.23,7.49,428.51,1183.07,3.0,2020-10-01,2020-11-01
122,,LAGOA II,31100570.0,2001.0,15784.0,62364519.0,"(6, 9]","(6, 10]",92150.0,1152.77,7.6,424.66,1221.37,1.0,2020-10-01,2020-11-01
123,,LAGOA II,31100569.0,2001.0,15784.0,62364519.0,"(6, 9]","(2, 6]",158730.0,1131.58,7.63,417.56,1199.01,2.0,2020-10-01,2020-11-01
124,,LAGOA II,31100568.0,2001.0,15784.0,62364519.0,"(6, 9]","(-2, 2]",201370.0,1090.7,7.69,405.61,1156.47,4.0,2020-10-01,2020-11-01
125,,LAGOA II,31100567.0,2001.0,15784.0,62364519.0,"(6, 9]","(-6, -2]",161170.0,1020.01,7.68,393.18,1086.01,6.0,2020-10-01,2020-11-01
126,,LAGOA II,31100566.0,2001.0,15784.0,62364519.0,"(6, 9]","(-10, -6]",90470.0,920.83,7.59,372.98,986.47,8.0,2020-10-01,2020-11-01
127,,LAGOA II,31100565.0,2001.0,15784.0,62364519.0,"(6, 9]","(-14, -10]",41840.0,835.34,7.53,347.01,897.6,10.0,2020-10-01,2020-11-01
128,,LAGOA II,31100564.0,2001.0,15784.0,62364519.0,"(6, 9]","(-18, -14]",18780.0,769.28,7.5,325.42,828.37,11.0,2020-10-01,2020-11-01
129,,LAGOA II,31100563.0,2001.0,15784.0,62364519.0,"(6, 9]","(-22, -18]",9220.0,680.11,7.35,299.55,736.44,13.0,2020-10-01,2020-11-01
130,,LAGOA II,31100562.0,2001.0,15784.0,62364519.0,"(6, 9]","(-26, -22]",5040.0,623.49,7.31,276.75,675.48,14.0,2020-10-01,2020-11-01
131,,LAGOA II,31100561.0,2001.0,15784.0,62364519.0,"(6, 9]","(-Infinito, -26]",6140.0,513.3,7.26,251.76,565.21,15.0,2020-10-01,2020-11-01
132,,LAGOA II,31100560.0,2001.0,15784.0,62364519.0,"(3, 6]","(26, Infinito]",9080.0,328.64,5.05,179.61,370.09,10.0,2020-10-01,2020-11-01
133,,LAGOA II,31100559.0,2001.0,15784.0,62364519.0,"(3, 6]","(22, 26]",5500.0,372.29,5.03,228.01,432.28,7.0,2020-10-01,2020-11-01
134,,LAGOA II,31100558.0,2001.0,15784.0,62364519.0,"(3, 6]","(18, 22]",8530.0,380.01,4.99,216.91,433.23,5.0,2020-10-01,2020-11-01
